Category: All categories

Day,ChatGPT: (Worldwide),BARD: (Worldwide),AutoGPT: (Worldwide),GPT3: (Worldwide),GPT4: (Worldwide)
2023-04-08,66,3,<1,<1,1
2023-04-09,71,3,<1,<1,1
2023-04-10,91,3,<1,<1,1
2023-04-11,92,3,<1,<1,1
2023-04-12,93,3,1,<1,1
2023-04-13,94,3,1,<1,1
2023-04-14,82,2,2,<1,1
2023-04-15,69,2,2,<1,1
2023-04-16,71,3,1,<1,1
2023-04-17,96,4,2,<1,1
2023-04-18,97,3,2,<1,1
2023-04-19,100,3,2,<1,1
2023-04-20,92,3,1,<1,1
2023-04-21,82,4,1,<1,1
